JDTB,Calendar Date,X,Y,Z
2459914.877, A.D. 2022-Dec-01 09:03:00.0000,3.68E+05,-1.60E+05,-3.37E+04
2459915.127, A.D. 2022-Dec-01 15:03:00.0000,3.70E+05,-1.39E+05,-3.24E+04
2459915.377, A.D. 2022-Dec-01 21:03:00.0000,3.71E+05,-1.17E+05,-3.10E+04
2459915.627, A.D. 2022-Dec-02 03:03:00.0000,3.73E+05,-9.45E+04,-2.94E+04
2459915.877, A.D. 2022-Dec-02 09:03:00.0000,3.74E+05,-7.15E+04,-2.77E+04
2459916.127, A.D. 2022-Dec-02 15:03:00.0000,3.74E+05,-4.79E+04,-2.58E+04
2459916.377, A.D. 2022-Dec-02 21:03:00.0000,3.73E+05,-2.38E+04,-2.39E+04
2459916.627, A.D. 2022-Dec-03 03:03:00.0000,3.71E+05,7.56E+02,-2.19E+04
2459916.877, A.D. 2022-Dec-03 09:03:00.0000,3.67E+05,2.56E+04,-1.97E+04
2459917.127, A.D. 2022-Dec-03 15:03:00.0000,3.62E+05,5.08E+04,-1.75E+04
2459917.377, A.D. 2022-Dec-03 21:03:00.0000,3.55E+05,7.63E+04,-1.52E+04
2459917.627, A.D. 2022-Dec-04 03:03:00.0000,3.47E+05,1.02E+05,-1.28E+04
2459917.877, A.D. 2022-Dec-04 09:03:00.0000,3.38E+05,1.28E+05,-1.03E+04
2459918.127, A.D. 2022-Dec-04 15:03:00.0000,3.27E+05,1.54E+05,-7.78E+03
2459918.377, A.D. 2022-Dec-04 21:03:00.0000,3.15E+05,1.80E+05,-5.19E+03
2459918.627, A.D. 2022-Dec-05 03:03:00.0000,3.03E+05,2.07E+05,-2.60E+03
2459918.877, A.D. 2022-Dec-05 09:03:00.0000,2.89E+05,2.36E+05,-3.91E+01
2459919.127, A.D. 2022-Dec-05 15:03:00.0000,2.76E+05,2.68E+05,2.12E+03
2459919.377, A.D. 2022-Dec-05 21:03:00.0000,2.85E+05,2.79E+05,-3.17E+03
2459919.627, A.D. 2022-Dec-06 03:03:00.0000,2.89E+05,2.78E+05,-7.57E+03
2459919.877, A.D. 2022-Dec-06 09:03:00.0000,2.91E+05,2.77E+05,-1.16E+04
2459920.127, A.D. 2022-Dec-06 15:03:00.0000,2.92E+05,2.76E+05,-1.56E+04
2459920.377, A.D. 2022-Dec-06 21:03:00.0000,2.92E+05,2.73E+05,-1.94E+04
2459920.627, A.D. 2022-Dec-07 03:03:00.0000,2.91E+05,2.70E+05,-2.31E+04
2459920.877, A.D. 2022-Dec-07 09:03:00.0000,2.89E+05,2.67E+05,-2.67E+04
2459921.127, A.D. 2022-Dec-07 15:03:00.0000,2.86E+05,2.62E+05,-3.02E+04
2459921.377, A.D. 2022-Dec-07 21:03:00.0000,2.82E+05,2.57E+05,-3.36E+04
2459921.627, A.D. 2022-Dec-08 03:03:00.0000,2.77E+05,2.51E+05,-3.69E+04
2459921.877, A.D. 2022-Dec-08 09:03:00.0000,2.71E+05,2.44E+05,-4.00E+04
2459922.127, A.D. 2022-Dec-08 15:03:00.0000,2.64E+05,2.36E+05,-4.30E+04
2459922.377, A.D. 2022-Dec-08 21:03:00.0000,2.56E+05,2.28E+05,-4.58E+04
2459922.627, A.D. 2022-Dec-09 03:03:00.0000,2.47E+05,2.18E+05,-4.83E+04
2459922.877, A.D. 2022-Dec-09 09:03:00.0000,2.36E+05,2.07E+05,-5.07E+04
2459923.127, A.D. 2022-Dec-09 15:03:00.0000,2.24E+05,1.95E+05,-5.27E+04
2459923.377, A.D. 2022-Dec-09 21:03:00.0000,2.11E+05,1.82E+05,-5.43E+04
2459923.627, A.D. 2022-Dec-10 03:03:00.0000,1.95E+05,1.67E+05,-5.56E+04
2459923.877, A.D. 2022-Dec-10 09:03:00.0000,1.78E+05,1.50E+05,-5.62E+04
2459924.127, A.D. 2022-Dec-10 15:03:00.0000,1.58E+05,1.32E+05,-5.60E+04
2459924.377, A.D. 2022-Dec-10 21:03:00.0000,1.36E+05,1.10E+05,-5.48E+04
