JDTB,Calendar Date,DeltaT,X,Y,Z
2452487.500000000, A.D. 2002-Aug-01 00:00:00.0000,      64.183287,  9.468260396897504E+07, -1.195171632719909E+08,  6.422812464654446E+03,
2452518.500000000, A.D. 2002-Sep-01 00:00:00.0000,      64.182648,  1.404198354464529E+08, -5.643891086289375E+07,  4.741946399729699E+03,
2452548.500000000, A.D. 2002-Oct-01 00:00:00.0000,      64.182378,  1.485717330941600E+08,  1.908613381535882E+07,  3.102771598036401E+03,
2452579.500000000, A.D. 2002-Nov-01 00:00:00.0000,      64.182542,  1.165826532169455E+08,  9.140147919299534E+07,  1.502532071813941E+03,
2452609.500000000, A.D. 2002-Dec-01 00:00:00.0000,      64.183096,  5.406126343536188E+07,  1.365979619446931E+08,  2.705699749663472E+02,
2452640.500000000, A.D. 2003-Jan-01 00:00:00.0000,      64.183928, -2.560438205046970E+07,  1.441080277486432E+08, -4.513652003854513E+02,
2452671.500000000, A.D. 2003-Feb-01 00:00:00.0000,      64.184784, -9.774719618994491E+07,  1.094206818815732E+08, -8.331444835215807E+02,
2452699.500000000, A.D. 2003-Mar-01 00:00:00.0000,      64.185368, -1.389589341001323E+08,  5.014581024038992E+07, -1.144541111834347E+03,
2452730.500000000, A.D. 2003-Apr-01 00:00:00.0000,      64.185640, -1.465168598340623E+08, -2.870938961776549E+07, -1.401097288290039E+03,
2452760.500000000, A.D. 2003-May-01 00:00:00.0000,      64.185467, -1.148163385343087E+08, -9.788559991652116E+07, -1.835315044671297E+03,
2452791.500000000, A.D. 2003-Jun-01 00:00:00.0000,      64.184896, -5.133721148850670E+07, -1.432238223798396E+08, -2.630178671851754E+03,
2452821.500000000, A.D. 2003-Jul-01 00:00:00.0000,      64.184115,  2.348211618042943E+07, -1.509178827492172E+08, -3.554709792494774E+03,
2452852.500000000, A.D. 2003-Aug-01 00:00:00.0000,      64.183281,  9.455899554856378E+07, -1.196996301337225E+08, -4.675227115280926E+03,
2452883.500000000, A.D. 2003-Sep-01 00:00:00.0000,      64.182641,  1.405508334323603E+08, -5.680544517408729E+07, -5.770274905916303E+03,
2452913.500000000, A.D. 2003-Oct-01 00:00:00.0000,      64.182371,  1.490164620401349E+08,  1.869188321103869E+07, -6.930797749267891E+03,
2452944.500000000, A.D. 2003-Nov-01 00:00:00.0000,      64.182538,  1.173314900058171E+08,  9.115366675737292E+07, -8.104913032654673E+03,
2452974.500000000, A.D. 2003-Dec-01 00:00:00.0000,      64.183097,  5.500189045973513E+07,  1.366352059885933E+08, -9.247821461930871E+03,
2453005.500000000, A.D. 2004-Jan-01 00:00:00.0000,      64.183931, -2.463749169409495E+07,  1.445097091826134E+08, -1.027500000888854E+04,
2453036.500000000, A.D. 2004-Feb-01 00:00:00.0000,      64.184788, -9.694360443838669E+07,  1.101568234651848E+08, -1.097556543727964E+04,
2453065.500000000, A.D. 2004-Mar-01 00:00:00.0000,      64.185390, -1.393468489495848E+08,  4.864434380697605E+07, -1.113955683369562E+04,
2453096.500000000, A.D. 2004-Apr-01 00:00:00.0000,      64.185649, -1.459007091652170E+08, -3.027163949683159E+07, -1.111618493380584E+04,
2453126.500000000, A.D. 2004-May-01 00:00:00.0000,      64.185462, -1.133436985485341E+08, -9.901192505210213E+07, -1.092494021341205E+04,
2453157.500000000, A.D. 2004-Jun-01 00:00:00.0000,      64.184876, -4.932724430206027E+07, -1.435247639913262E+08, -1.070779889185727E+04,
2453187.500000000, A.D. 2004-Jul-01 00:00:00.0000,      64.184084,  2.555706741609416E+07, -1.502690912745189E+08, -1.090422646931559E+04,
2453218.500000000, A.D. 2004-Aug-01 00:00:00.0000,      64.183247,  9.621703622557637E+07, -1.181554837123580E+08, -1.166199514213949E+04,
2453249.500000000, A.D. 2004-Sep-01 00:00:00.0000,      64.182612,  1.414015500028839E+08, -5.467680455426386E+07, -1.306599774529040E+04,
2453279.500000000, A.D. 2004-Oct-01 00:00:00.0000,      64.182356,  1.488954467527084E+08,  2.094074846689942E+07, -1.461754755319282E+04,
