JDTB,Calendar Year,X,Y,Z
2459915.127, A.D. 2022-Dec-01 15:03:00.0000,4.54E+03,-6.37E+02,-3.26E+02
2459915.377, A.D. 2022-Dec-01 21:03:00.0000,4.58E+03,-3.69E+02,-3.10E+02
2459915.627, A.D. 2022-Dec-02 03:03:00.0000,4.61E+03,-9.97E+01,-2.94E+02
2459915.877, A.D. 2022-Dec-02 09:03:00.0000,4.62E+03,1.70E+02,-2.76E+02
2459916.127, A.D. 2022-Dec-02 15:03:00.0000,4.61E+03,4.39E+02,-2.58E+02
2459916.377, A.D. 2022-Dec-02 21:03:00.0000,4.59E+03,7.07E+02,-2.39E+02
2459916.627, A.D. 2022-Dec-03 03:03:00.0000,4.56E+03,9.72E+02,-2.19E+02
2459916.877, A.D. 2022-Dec-03 09:03:00.0000,4.50E+03,1.23E+03,-1.98E+02
2459917.127, A.D. 2022-Dec-03 15:03:00.0000,4.44E+03,1.49E+03,-1.77E+02
2459917.377, A.D. 2022-Dec-03 21:03:00.0000,4.36E+03,1.75E+03,-1.55E+02
2459917.627, A.D. 2022-Dec-04 03:03:00.0000,4.26E+03,1.99E+03,-1.32E+02
2459917.877, A.D. 2022-Dec-04 09:03:00.0000,4.15E+03,2.24E+03,-1.09E+02
2459918.127, A.D. 2022-Dec-04 15:03:00.0000,4.03E+03,2.47E+03,-8.58E+01
2459918.377, A.D. 2022-Dec-04 21:03:00.0000,3.90E+03,2.70E+03,-6.22E+01
2459918.627, A.D. 2022-Dec-05 03:03:00.0000,3.75E+03,2.92E+03,-3.85E+01
2459918.877, A.D. 2022-Dec-05 09:03:00.0000,3.59E+03,3.13E+03,-1.46E+01
2459919.127, A.D. 2022-Dec-05 15:03:00.0000,3.42E+03,3.33E+03,9.39E+00
2459919.377, A.D. 2022-Dec-05 21:03:00.0000,3.24E+03,3.52E+03,3.33E+01
2459919.627, A.D. 2022-Dec-06 03:03:00.0000,3.05E+03,3.70E+03,5.71E+01
2459919.877, A.D. 2022-Dec-06 09:03:00.0000,2.85E+03,3.86E+03,8.08E+01
2459920.127, A.D. 2022-Dec-06 15:03:00.0000,2.64E+03,4.02E+03,1.04E+02
2459920.377, A.D. 2022-Dec-06 21:03:00.0000,2.42E+03,4.16E+03,1.27E+02
2459920.627, A.D. 2022-Dec-07 03:03:00.0000,2.20E+03,4.30E+03,1.50E+02
2459920.877, A.D. 2022-Dec-07 09:03:00.0000,1.97E+03,4.42E+03,1.72E+02
2459921.127, A.D. 2022-Dec-07 15:03:00.0000,1.73E+03,4.52E+03,1.94E+02
2459921.377, A.D. 2022-Dec-07 21:03:00.0000,1.49E+03,4.61E+03,2.15E+02
2459921.627, A.D. 2022-Dec-08 03:03:00.0000,1.24E+03,4.69E+03,2.35E+02
2459921.877, A.D. 2022-Dec-08 09:03:00.0000,9.95E+02,4.76E+03,2.55E+02
2459922.127, A.D. 2022-Dec-08 15:03:00.0000,7.42E+02,4.81E+03,2.74E+02
2459922.377, A.D. 2022-Dec-08 21:03:00.0000,4.88E+02,4.85E+03,2.93E+02
2459922.627, A.D. 2022-Dec-09 03:03:00.0000,2.32E+02,4.87E+03,3.10E+02
2459922.877, A.D. 2022-Dec-09 09:03:00.0000,-2.51E+01,4.89E+03,3.26E+02
2459923.127, A.D. 2022-Dec-09 15:03:00.0000,-2.82E+02,4.88E+03,3.42E+02
2459923.377, A.D. 2022-Dec-09 21:03:00.0000,-5.37E+02,4.87E+03,3.57E+02
2459923.627, A.D. 2022-Dec-10 03:03:00.0000,-7.91E+02,4.83E+03,3.70E+02
2459923.877, A.D. 2022-Dec-10 09:03:00.0000,-1.04E+03,4.79E+03,3.83E+02
2459924.127, A.D. 2022-Dec-10 15:03:00.0000,-1.29E+03,4.73E+03,3.94E+02
2459924.377, A.D. 2022-Dec-10 21:03:00.0000,-1.54E+03,4.66E+03,4.04E+02
